close,high,low,open,year,day
93964.01,94305.61,93181.83,93186.34,2024,23
95191.81,95191.81,93911.5,93964.01,2024,23
94881.47,95509.09,94683.81,95191.8,2024,23
94550.22,94881.47,94131.11,94881.47,2024,24
94123.43,94672.0,94036.0,94550.23,2024,24
93961.45,94320.0,93569.02,94123.43,2024,24
94348.75,94400.0,93810.02,93961.45,2024,24
94412.3,94416.0,94052.7,94348.75,2024,24
94606.06,94653.45,94311.55,94412.3,2024,24
93918.99,94606.07,93830.47,94606.06,2024,24
94233.19,94313.61,93810.45,93918.99,2024,24
94495.77,94635.7,94125.42,94233.2,2024,24
94068.01,94530.42,93952.0,94495.77,2024,24
93972.01,94194.07,93840.0,94068.01,2024,24
94398.6,94425.7,93934.69,93972.01,2024,24
94304.32,94410.39,94075.1,94398.6,2024,24
96085.02,96094.0,94289.24,94305.84,2024,24
97465.06,97498.64,95864.5,96085.02,2024,24
98300.0,98300.0,97235.55,97465.06,2024,24
98496.23,98666.0,97964.0,98299.99,2024,24
98797.47,99030.72,98325.78,98496.23,2024,24
98618.66,99487.99,98418.16,98797.47,2024,24
97581.09,98743.52,97546.57,98618.66,2024,24
97298.01,98056.27,97250.0,97581.1,2024,24
98397.96,98462.28,97277.9,97298.02,2024,24
98777.11,99068.9,98355.43,98397.95,2024,24
98663.58,99019.1,98492.67,98777.1,2024,24
98418.42,98878.44,98393.6,98663.58,2024,25
97983.18,98597.6,97901.08,98418.42,2024,25
98131.07,98353.99,97725.27,97983.17,2024,25
98029.48,98280.02,97930.53,98131.07,2024,25
98236.01,98354.39,97875.91,98029.49,2024,25
98279.28,98360.65,98159.09,98236.01,2024,25
97884.38,98581.9,97844.18,98279.28,2024,25
98084.33,98366.79,97873.49,97884.39,2024,25
98069.71,98271.76,97926.99,98084.33,2024,25
98189.54,98265.07,98007.69,98069.72,2024,25
98457.0,99349.31,98145.75,98189.55,2024,25
97907.61,98866.77,97773.83,98456.99,2024,25
98176.03,98610.11,97632.02,97907.61,2024,25
98462.56,98609.89,98131.85,98176.02,2024,25
98710.0,98832.89,98257.32,98462.57,2024,25
98519.98,98724.0,98202.43,98710.0,2024,25
98425.51,98696.4,98134.4,98519.99,2024,25
98570.82,98659.0,98185.21,98425.5,2024,25
98756.26,98978.18,98544.22,98570.82,2024,25
99018.52,99299.99,98734.66,98756.26,2024,25
99144.62,99400.0,98870.95,99018.52,2024,25
98506.36,99555.0,98384.61,99144.62,2024,25
98811.16,99100.0,98434.78,98506.37,2024,25
99429.6,99569.15,98811.16,98811.16,2024,25
99028.66,99963.7,98955.77,99429.61,2024,26
99057.01,99250.0,98590.0,99028.66,2024,26
98750.34,99194.21,98468.26,99057.02,2024,26
98995.17,99167.12,98576.77,98750.34,2024,26
98300.0,98995.18,98255.0,98995.18,2024,26
98375.01,98460.0,98076.58,98300.0,2024,26
98121.2,98484.0,98023.1,98375.01,2024,26
97719.99,98292.0,97711.17,98121.21,2024,26
95878.56,97772.13,95616.18,97719.99,2024,26
95439.25,95978.52,95420.26,95878.56,2024,26
95500.02,95777.4,95199.14,95439.4,2024,26
95695.81,96035.5,95469.53,95500.02,2024,26
95680.71,95880.6,95462.57,95695.81,2024,26
95704.44,95772.9,95288.0,95680.71,2024,26
95449.36,96280.25,95234.93,95704.45,2024,26
96042.88,96216.91,95270.0,95449.36,2024,26
96519.47,96621.95,95816.86,96042.89,2024,26
95824.27,96547.99,95680.0,96519.47,2024,26
95743.44,95986.4,95458.66,95824.27,2024,26
96102.25,96198.58,95444.44,95743.44,2024,26
95589.6,96114.46,95400.0,96102.24,2024,26
95812.63,95933.74,95302.0,95589.6,2024,26
95821.92,95963.86,95625.0,95812.63,2024,26
95791.6,95887.99,95372.32,95821.92,2024,26
95794.56,95930.39,95401.03,95791.6,2024,27
95917.03,96250.0,95575.07,95794.55,2024,27
96073.77,96443.68,95718.75,95917.02,2024,27
96417.84,96443.0,95982.51,96073.77,2024,27
96300.0,96595.98,96229.39,96417.84,2024,27
96238.89,96333.77,96001.0,96300.01,2024,27
96594.16,96594.44,96107.28,96238.89,2024,27
95104.76,96604.24,94646.03,96594.17,2024,27
95724.02,96395.0,95104.76,95104.76,2024,27
96774.13,97544.58,95674.0,95724.01,2024,27
96605.46,97029.25,96195.2,96774.14,2024,27
96952.38,96953.71,96377.77,96605.46,2024,27
96686.75,97035.8,96617.64,96952.38,2024,27
96407.99,96686.74,96229.66,96686.74,2024,27
95691.99,96480.0,95161.17,96407.99,2024,27
94573.75,95718.13,94011.11,95692.0,2024,27
94165.92,94996.16,94101.02,94573.75,2024,27
94291.3,94354.82,93500.01,94165.92,2024,27
94566.06,94770.15,94212.3,94291.3,2024,27
94750.0,94810.07,94252.0,94566.05,2024,27
94588.12,94778.43,94313.82,94750.11,2024,27
