timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-12-25 15:00:00,98710.00000000,98724.00000000,98202.43000000,98519.98000000,527.91917000,2024-12-25 15:59:59.999,51998813.78616750,178672,239.01443000,23539280.43659200,0
2024-12-25 16:00:00,98519.99000000,98696.40000000,98134.40000000,98425.51000000,508.99836000,2024-12-25 16:59:59.999,50067623.81870290,170154,272.89539000,26842371.46604550,0
2024-12-25 17:00:00,98425.50000000,98659.00000000,98185.21000000,98570.82000000,344.11537000,2024-12-25 17:59:59.999,33876016.37052960,101756,164.19650000,16165999.56507070,0
2024-12-25 18:00:00,98570.82000000,98978.18000000,98544.22000000,98756.26000000,567.60019000,2024-12-25 18:59:59.999,56089155.35017490,98700,251.28140000,24827721.92897660,0
2024-12-25 19:00:00,98756.26000000,99299.99000000,98734.66000000,99018.52000000,674.13162000,2024-12-25 19:59:59.999,66798675.84412410,117167,397.31196000,39368385.82224530,0
2024-12-25 20:00:00,99018.52000000,99400.00000000,98870.95000000,99144.62000000,542.46107000,2024-12-25 20:59:59.999,53783976.57403320,109792,309.10642000,30647458.84470380,0
2024-12-25 21:00:00,99144.62000000,99555.00000000,98384.61000000,98506.36000000,873.33545000,2024-12-25 21:59:59.999,86360937.66353740,173522,483.78871000,47868319.62352020,0
2024-12-25 22:00:00,98506.37000000,99100.00000000,98434.78000000,98811.16000000,466.68630000,2024-12-25 22:59:59.999,46087562.01540160,101269,225.46007000,22262395.13313790,0
2024-12-25 23:00:00,98811.16000000,99569.15000000,98811.16000000,99429.60000000,825.45050000,2024-12-25 23:59:59.999,81974513.60984080,142235,346.76303000,34427169.27528490,0
2024-12-26 00:00:00,99429.61000000,99963.70000000,98955.77000000,99028.66000000,1112.66226000,2024-12-26 00:59:59.999,110703637.03175420,298864,619.53111000,61664169.57213320,0
2024-12-26 01:00:00,99028.66000000,99250.00000000,98590.00000000,99057.01000000,842.68396000,2024-12-26 01:59:59.999,83324342.42686490,224428,429.57709000,42475592.27956710,0
2024-12-26 02:00:00,99057.02000000,99194.21000000,98468.26000000,98750.34000000,755.75962000,2024-12-26 02:59:59.999,74720672.90711630,196830,348.42749000,34448332.52321620,0
2024-12-26 03:00:00,98750.34000000,99167.12000000,98576.77000000,98995.17000000,627.92857000,2024-12-26 03:59:59.999,62067714.06848490,178255,330.89790000,32712746.96089560,0
2024-12-26 04:00:00,98995.18000000,98995.18000000,98255.00000000,98300.00000000,629.92754000,2024-12-26 04:59:59.999,62070856.60699940,157256,254.82696000,25107971.85331660,0
2024-12-26 05:00:00,98300.00000000,98460.00000000,98076.58000000,98375.01000000,634.59553000,2024-12-26 05:59:59.999,62360397.99473100,103936,300.03696000,29486371.93670280,0
2024-12-26 06:00:00,98375.01000000,98484.00000000,98023.10000000,98121.20000000,471.41543000,2024-12-26 06:59:59.999,46291749.77086950,98828,207.50844000,20375923.64814610,0
2024-12-26 07:00:00,98121.21000000,98292.00000000,97711.17000000,97719.99000000,802.99524000,2024-12-26 07:59:59.999,78674712.31655650,143084,304.37773000,29825979.29924590,0
2024-12-26 08:00:00,97719.99000000,97772.13000000,95616.18000000,95878.56000000,3318.24181000,2024-12-26 08:59:59.999,320318912.65702790,519832,1417.71588000,136782600.13589840,0
2024-12-26 09:00:00,95878.56000000,95978.52000000,95420.26000000,95439.25000000,1084.30994000,2024-12-26 09:59:59.999,103730630.49187420,263016,456.59832000,43687656.91970250,0
2024-12-26 10:00:00,95439.40000000,95777.40000000,95199.14000000,95500.02000000,836.54692000,2024-12-26 10:59:59.999,79859215.80954180,195275,406.32379000,38789481.17691830,0
2024-12-26 11:00:00,95500.02000000,96035.50000000,95469.53000000,95695.81000000,817.15898000,2024-12-26 11:59:59.999,78275311.03008210,152060,477.12828000,45703572.62413430,0
2024-12-26 12:00:00,95695.81000000,95880.60000000,95462.57000000,95680.71000000,526.11877000,2024-12-26 12:59:59.999,50313970.54524340,178049,235.75556000,22547443.91399500,0
2024-12-26 13:00:00,95680.71000000,95772.90000000,95288.00000000,95704.44000000,919.98638000,2024-12-26 13:59:59.999,87851200.41776690,207372,368.73108000,35219530.84786930,0
2024-12-26 14:00:00,95704.45000000,96280.25000000,95234.93000000,95449.36000000,1656.27872000,2024-12-26 14:59:59.999,158550709.21375410,410766,914.42819000,87545827.88936980,0
2024-12-26 15:00:00,95449.36000000,96216.91000000,95270.00000000,96042.88000000,1165.18448000,2024-12-26 15:59:59.999,111652445.24280690,443285,578.83274000,55477830.53330700,0
2024-12-26 16:00:00,96042.89000000,96621.95000000,95816.86000000,96519.47000000,1018.76508000,2024-12-26 16:59:59.999,98014248.20852260,316437,535.98576000,51562063.62356830,0
2024-12-26 17:00:00,96519.47000000,96547.99000000,95680.00000000,95824.27000000,772.56303000,2024-12-26 17:59:59.999,74237924.17706980,261365,359.54574000,34552807.37353180,0
2024-12-26 18:00:00,95824.27000000,95986.40000000,95458.66000000,95743.44000000,530.95010000,2024-12-26 18:59:59.999,50827269.37618290,164373,255.45947000,24456394.43769540,0
2024-12-26 19:00:00,95743.44000000,96198.58000000,95444.44000000,96102.25000000,569.90971000,2024-12-26 19:59:59.999,54536830.30066650,159368,285.11464000,27289726.55160450,0
2024-12-26 20:00:00,96102.24000000,96114.46000000,95400.00000000,95589.60000000,630.68028000,2024-12-26 20:59:59.999,60314209.26838020,189933,296.26242000,28330261.97296330,0
2024-12-26 21:00:00,95589.60000000,95933.74000000,95302.00000000,95812.63000000,597.64881000,2024-12-26 21:59:59.999,57149987.77457970,143387,309.99802000,29642458.82346540,0
2024-12-26 22:00:00,95812.63000000,95963.86000000,95625.00000000,95821.92000000,326.30061000,2024-12-26 22:59:59.999,31260085.19522550,66805,140.51483000,13461817.30902040,0
2024-12-26 23:00:00,95821.92000000,95887.99000000,95372.32000000,95791.60000000,543.75550000,2024-12-26 23:59:59.999,52016534.55467120,130686,238.29409000,22794053.92297710,0
2024-12-27 00:00:00,95791.60000000,95930.39000000,95401.03000000,95794.56000000,627.70553000,2024-12-27 00:59:59.999,60067349.18628240,138149,288.70366000,27627157.99932500,0
2024-12-27 01:00:00,95794.55000000,96250.00000000,95575.07000000,95917.03000000,726.33893000,2024-12-27 01:59:59.999,69683412.44331460,156345,374.27431000,35903607.80711950,0
2024-12-27 02:00:00,95917.02000000,96443.68000000,95718.75000000,96073.77000000,973.05088000,2024-12-27 02:59:59.999,93593669.02679880,191616,481.93972000,46350200.60698250,0
2024-12-27 03:00:00,96073.77000000,96443.00000000,95982.51000000,96417.84000000,608.14876000,2024-12-27 03:59:59.999,58547021.97651110,159863,237.04811000,22822246.56059270,0
2024-12-27 04:00:00,96417.84000000,96595.98000000,96229.39000000,96300.00000000,892.67108000,2024-12-27 04:59:59.999,86100729.21662060,166444,530.09553000,51131757.92493870,0
2024-12-27 05:00:00,96300.01000000,96333.77000000,96001.00000000,96238.89000000,623.74969000,2024-12-27 05:59:59.999,59965841.12804130,136403,292.84731000,28153858.76622980,0
2024-12-27 06:00:00,96238.89000000,96594.44000000,96107.28000000,96594.16000000,389.55148000,2024-12-27 06:59:59.999,37542079.16719850,122019,193.79981000,18677818.62854820,0
2024-12-27 07:00:00,96594.17000000,96604.24000000,94646.03000000,95104.76000000,2694.55677000,2024-12-27 07:59:59.999,256635564.80001290,377862,1228.48226000,116955794.49978360,0
2024-12-27 08:00:00,95104.76000000,96395.00000000,95104.76000000,95724.02000000,1419.07808000,2024-12-27 08:59:59.999,136043907.66489540,330740,715.36305000,68560335.13928240,0
2024-12-27 09:00:00,95724.01000000,97544.58000000,95674.00000000,96774.13000000,2345.43490000,2024-12-27 09:59:59.999,227536581.24660480,458878,1346.02702000,130562953.38367300,0
2024-12-27 10:00:00,96774.14000000,97029.25000000,96195.20000000,96605.46000000,732.07575000,2024-12-27 10:59:59.999,70704606.81427970,240361,397.36123000,38383045.27855170,0
