timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-12-24 11:00:00,3393.20000000,3416.04000000,3392.69000000,3414.56000000,5649.30400000,2024-12-24 11:59:59.999,19242609.34817100,76603,3244.68040000,11049705.62963100,0
2024-12-24 12:00:00,3414.56000000,3415.94000000,3395.59000000,3406.55000000,9427.95300000,2024-12-24 12:59:59.999,32089720.26987500,76740,4473.53110000,15225816.39294900,0
2024-12-24 13:00:00,3406.64000000,3456.26000000,3401.68000000,3452.96000000,18744.72130000,2024-12-24 13:59:59.999,64403184.41479400,139793,10574.66200000,36324545.72705900,0
2024-12-24 14:00:00,3452.95000000,3471.29000000,3430.73000000,3455.91000000,27559.35900000,2024-12-24 14:59:59.999,95107536.47617900,255747,12782.96800000,44114255.99650700,0
2024-12-24 15:00:00,3455.90000000,3510.00000000,3443.98000000,3493.07000000,28995.10680000,2024-12-24 15:59:59.999,100996044.62562200,221896,14525.28990000,50594945.47908400,0
2024-12-24 16:00:00,3493.07000000,3519.00000000,3475.48000000,3480.00000000,20900.47830000,2024-12-24 16:59:59.999,73054529.04864900,198808,10203.74030000,35672304.72350100,0
2024-12-24 17:00:00,3480.00000000,3510.96000000,3479.50000000,3501.75000000,17125.79110000,2024-12-24 17:59:59.999,59912590.81957000,151320,8603.23660000,30098063.41232500,0
2024-12-24 18:00:00,3501.76000000,3539.65000000,3486.60000000,3493.62000000,18957.37010000,2024-12-24 18:59:59.999,66520335.30297300,154323,9485.61630000,33309877.96010100,0
2024-12-24 19:00:00,3493.63000000,3499.63000000,3465.02000000,3465.52000000,11658.49350000,2024-12-24 19:59:59.999,40582460.55299500,80582,4493.02090000,15642195.07952400,0
2024-12-24 20:00:00,3465.51000000,3468.50000000,3431.99000000,3450.21000000,15636.87650000,2024-12-24 20:59:59.999,53955161.04802000,167449,7667.96950000,26456063.91469400,0
2024-12-24 21:00:00,3450.20000000,3493.20000000,3446.52000000,3489.24000000,9607.55830000,2024-12-24 21:59:59.999,33374947.10939900,82196,5402.01200000,18767572.09247900,0
2024-12-24 22:00:00,3489.25000000,3500.00000000,3478.00000000,3492.63000000,6616.97900000,2024-12-24 22:59:59.999,23092496.69747300,63904,3367.98170000,11754191.58385800,0
2024-12-24 23:00:00,3492.62000000,3505.00000000,3489.60000000,3493.18000000,6033.25400000,2024-12-24 23:59:59.999,21102290.40756000,69494,3077.02570000,10763301.38227300,0
2024-12-25 00:00:00,3493.17000000,3495.88000000,3478.54000000,3482.73000000,7995.28740000,2024-12-25 00:59:59.999,27883555.11509800,78528,3393.86620000,11837980.37443800,0
